"","age","age2","female","clase","p6210","relab","p6210s1","college","cotPension","cuentaPropia","estrato1","fex_c","formal","fweight","hoursWorkUsual","inglabo","ingtot","impa","isa","maxEducLevel","mes","microEmpresa","oficio","p6050","p6426","y_ingLab_m","y_ingLab_m_ha","y_salarySec_m","y_salary_m_hu","y_total_m","y_total_m_ha"
"2516",53,2809,0,1,6,5,3,0,2,0,3,238.294217317513,0,238,60,8e+05,8e+05,8e+05,0,7,2,1,3,1,240,NA,NA,NA,NA,8e+05,3111.11108398438
"2517",24,576,1,1,6,4,4,0,1,1,3,238.294217317513,1,238,48,2e+06,2e+06,2e+06,0,7,2,0,39,2,12,NA,NA,NA,NA,2e+06,9722.22265625
"2518",37,1369,0,1,6,1,3,0,1,0,2,262.800248480445,1,263,48,991553,991553,991553,0,7,2,0,95,1,84,991553,4820.04931640625,NA,3797.7041015625,991553,4820.04931640625
"2519",37,1369,1,1,6,4,2,0,2,1,2,262.800248480445,0,263,1,50000,50000,50000,0,7,2,1,59,2,48,NA,NA,NA,NA,50000,11666.6669921875
"2520",22,484,0,1,4,1,8,0,1,0,2,219.416708708194,1,219,48,896119.666666667,896119.666666667,896119.666666667,0,5,2,1,45,1,24,896119.6875,4356.13720703125,NA,3797.7041015625,896119.6875,4356.13720703125
"2521",29,841,0,1,5,1,11,1,2,0,2,219.416708708194,0,219,48,8e+05,8e+05,8e+05,0,6,2,1,95,9,12,8e+05,3888.88891601562,NA,3888.88891601562,8e+05,3888.88891601562
"2522",28,784,0,1,6,1,7,0,1,0,4,202.815043076808,1,203,40,4100000,4100000,4100000,0,7,2,0,21,1,34,4100000,23916.666015625,NA,22166.666015625,4100000,23916.666015625
"2523",27,729,1,1,6,1,5,0,1,0,4,202.815043076808,1,203,40,0,1625000,0,0,7,2,0,5,9,1,NA,NA,NA,NA,NA,NA
"2524",19,361,0,1,6,4,2,0,2,1,4,202.815043076808,0,203,16,781242,1481242,781242,0,7,2,0,44,9,12,NA,NA,NA,NA,781242,11393.1123046875
"2525",55,3025,0,1,6,1,5,0,1,0,4,259.22178161618,1,259,50,8666666.66666667,8666666.66666667,8666666.66666667,0,7,2,0,11,1,132,8666667,40444.4453125,NA,37333.33203125,8666667,40444.4453125
"2526",27,729,0,1,6,4,5,0,1,1,4,259.22178161618,1,259,40,3500000,3500000,3500000,0,7,2,0,2,3,36,NA,NA,NA,NA,3500000,20416.666015625
"2527",51,2601,0,1,6,1,5,0,1,0,4,240.570060295446,1,241,48,3500000,3500000,3500000,0,7,2,0,8,1,4,3500000,17013.888671875,NA,17013.888671875,3500000,17013.888671875
"2528",50,2500,1,1,6,1,6,0,1,0,4,240.570060295446,1,241,48,2395833.33333333,2395833.33333333,2395833.33333333,0,7,2,0,32,2,276,2395833.25,11646.412109375,NA,11180.5556640625,2395833.25,11646.412109375
